Month (t),Date,Open,High,Low,Close*,Adj Close**,Volume,GSPC Stock Return ,GSPC_percent_return,Open,High,Low,Close,Adj Close,Volume,AAPL Stock Return,AAPL_percent_return,Open,High,Low,Close,Adj Close,Volume,INTC Stock Return,INTC_percent_return,Open,High,Low,Close,Adj Close,Volume,KR Stock Return,KR_percent_return
1,1-Jan-15,"2,058.90","2,072.36","1,988.12","1,994.99","1,994.99","77,330,040,000",-0.03,-3.104,27.8475,30,26.157499,29.290001,26.556955,5221053600,0.061,6.142,36.669998,37.490002,33,33.040001,27.52179,689892600,-0.089556476,-8.956,32.055,35.029999,31.190001,34.525002,30.590912,174078600,0.075377875,7.538
2,1-Feb-15,"1,996.67","2,119.59","1,980.90","2,104.50","2,104.50","68,775,560,000",0.05,5.489,29.512501,33.400002,29.02,32.115002,29.118362,4546140800,0.096,9.645,33.060001,34.75,32.610001,33.25,27.696722,456578100,0.006356127,0.636,34.505001,36.799999,34.165001,35.575001,31.521267,153676600,0.030412791,3.041
3,1-Mar-15,"2,105.23","2,117.52","2,039.69","2,067.89","2,067.89","76,675,850,000",-0.02,-1.74,32.3125,32.57,30.407499,31.1075,28.316179,4554568400,-0.028,-2.755,33.290001,34.5,29.309999,31.27,26.234245,910690800,-0.052803252,-5.28,35.509998,38.869999,34.540001,38.330002,34.050201,210360000,0.080229453,8.023
4,1-Apr-15,"2,067.63","2,125.92","2,048.38","2,085.51","2,085.51","72,060,940,000",0.01,0.852,31.205,33.634998,30.775,31.2875,28.480034,3984542000,0.006,0.579,31.129999,33.040001,30.450001,32.549999,27.308113,568144200,0.040933825,4.093,38.365002,38.779999,34.080002,34.455002,30.60788,179724800,-0.101095468,-10.11
5,1-May-15,"2,087.38","2,134.72","2,067.93","2,107.39","2,107.39","65,187,730,000",0.01,1.049,31.525,33.2425,30.84,32.57,29.647449,3816608400,0.041,4.099,32.630001,34.75,31.93,34.459999,28.910519,498672700,0.058678752,5.868,34.525002,37.310001,34.049999,36.400002,32.335705,159659400,0.056450332,5.645
6,1-Jun-15,"2,108.64","2,129.87","2,056.32","2,063.11","2,063.11","73,213,980,000",-0.02,-2.101,32.57,32.8475,31.120001,31.3575,28.662985,3514426800,-0.033,-3.321,34.369999,34.59,30.15,30.42,25.705673,701953000,-0.110853977,-11.085,36.595001,37.514999,35.119999,36.255001,32.290638,161161000,-0.001393723,-0.139
7,1-Jul-15,"2,067.00","2,132.82","2,044.02","2,103.84","2,103.84","77,920,590,000",0.02,1.974,31.725,33.2425,29.805,30.325001,27.7192,4233122400,-0.033,-3.293,30.49,30.92,27.620001,28.950001,24.46349,829691000,-0.048323302,-4.832,36.544998,39.34,36.32,39.240002,34.949226,115934800,0.08233309,8.233
8,1-Aug-15,"2,104.49","2,112.66","1,867.01","1,972.18","1,972.18","84,626,790,000",-0.06,-6.258,30.375,30.6425,23,28.190001,25.767656,6427276400,-0.07,-7.04,29,29.68,24.870001,28.540001,24.117033,706404700,-0.014162207,-1.416,39.23,39.43,27.32,34.5,30.727524,166279700,-0.120795293,-12.08
9,1-Sep-15,"1,970.09","2,020.86","1,871.91","1,920.03","1,920.03","79,989,370,000",-0.03,-2.644,27.5375,29.2225,26.84,27.575001,25.319595,4826189200,-0.017,-1.739,27.91,30.32,27.66,30.139999,25.680655,680884100,0.064834758,6.483,33.98,37.950001,33.630001,36.07,32.216324,161564300,0.048451675,4.845
10,1-Oct-15,"1,919.65","2,094.32","1,893.70","2,079.36","2,079.36","85,844,900,000",0.08,8.298,27.2675,30.305,26.827499,29.875,27.431477,4450048400,0.083,8.341,30.209999,35.029999,29.459999,33.860001,28.85026,703298300,0.123423838,12.342,36.119999,38.509998,35.689999,37.799999,33.76149,170334400,0.047962207,4.796
